OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_CAL1,SOL_PH1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_CAL2,SOL_PH2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_CAL3,SOL_PH3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_CAL4,SOL_PH4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_CAL5,SOL_PH5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_CAL6,SOL_PH6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_CAL7,SOL_PH7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_CAL8,SOL_PH8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_CAL9,SOL_PH9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL10,SOL_PH10
115,,1,s115,,1,3,A,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,,1,s116,,1,3,B,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,,1,s117,,1,3,C,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,,1,s118,,1,3,A,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,,1,s119,,1,3,B,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,,1,s120,,1,3,C,1500,0.5,0.5,,250,1.43054211793063,0.173614705156007,10.2837459884741,1.25581395348837,4.44529411764706,14.8405882352941,80.7141176470588,0,0.166324004962372,0.149193121070087,0,0,0,750,1.52704033724506,0.174098572508386,13.9999967457351,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167567781803437,0.169296506850016,0,0,0,1500,1.70547198834784,0.148794687733316,11.3292309611138,0.116279069767442,12.06640625,25.393125,62.54046875,0,0.166845444488659,0.255482528376094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,,1,s121,,1,3,D,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,,1,s122,,1,3,D,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,,1,s123,,1,3,D,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,,1,s124,,1,3,D,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,,1,s125,,1,3,A,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,,1,s126,,1,3,B,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,,1,s127,,1,3,A,1500,0.5,0.5,,250,1.49193585001166,0.17398566439512,15.1239812535247,0.831395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167517054579352,0.164913655149781,0,0,0,750,1.56817561713231,0.143427219480396,12.1769708298738,0.412790697674419,4.44529411764706,14.8405882352941,80.7141176470588,0,0.179662602831775,0.171708199129712,0,0,0,1500,1.72489846827893,0.141313162797498,6.90430502949343,0.0755813953488372,12.06640625,25.393125,62.54046875,0,0.168416118774349,0.255589385973224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,,1,s128,,1,3,B,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,,1,s129,,1,3,C,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,,1,s130,,1,3,C,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,,1,s131,,1,3,B,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,,1,s132,,1,3,C,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,,1,s133,,1,3,B,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,,1,s134,,1,3,C,1500,0.5,0.5,,250,1.52704033724506,0.173041011417036,14.25865639077,0.627906976744186,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167409236023459,0.169296506850016,0,0,0,750,1.59233429425943,0.141632941068862,11.3813894725573,0.313953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.182510797509829,0.172307818249776,0,0,0,1500,1.73483546139095,0.140083012133583,7.68312179611647,0.0581395348837209,12.06640625,25.393125,62.54046875,0,0.170100815816485,0.255628650239758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,,1,s135,,1,3,B,1500,0.5,0.5,,250,1.05111069846832,0.187599545060455,3.40877605204473,5.81395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.157279440399684,0.129842677022207,0,0,0,750,1.25874180754803,0.161934577178639,8.55487379006285,2.90697674418605,4.44529411764706,14.8405882352941,80.7141176470588,0,0.160333033223749,0.129958261589997,0,0,0,1500,1.60442475786107,0.191758057603696,8.94190770927447,0.581395348837209,12.06640625,25.393125,62.54046875,0,0.162254319902021,0.251092894686485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,,1,s136,,1,3,B,1500,0.5,0.5,,250,1.05111069846832,0.187599545060455,3.40877605204473,5.81395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.157279440399684,0.129842677022207,0,0,0,750,1.25874180754803,0.161934577178639,8.55487379006285,2.90697674418605,4.44529411764706,14.8405882352941,80.7141176470588,0,0.160333033223749,0.129958261589997,0,0,0,1500,1.60442475786107,0.191758057603696,8.94190770927447,0.581395348837209,12.06640625,25.393125,62.54046875,0,0.162254319902021,0.251092894686485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,,1,s137,,1,3,B,1500,0.5,0.5,,250,1.05111069846832,0.187599545060455,3.40877605204473,5.81395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.157279440399684,0.129842677022207,0,0,0,750,1.25874180754803,0.161934577178639,8.55487379006285,2.90697674418605,4.44529411764706,14.8405882352941,80.7141176470588,0,0.160333033223749,0.129958261589997,0,0,0,1500,1.60442475786107,0.191758057603696,8.94190770927447,0.581395348837209,12.06640625,25.393125,62.54046875,0,0.162254319902021,0.251092894686485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,,1,s138,,1,3,C,1500,0.5,0.5,,250,1.05111069846832,0.187599545060455,3.40877605204473,5.81395348837209,4.44529411764706,14.8405882352941,80.7141176470588,0,0.157279440399684,0.129842677022207,0,0,0,750,1.25874180754803,0.161934577178639,8.55487379006285,2.90697674418605,4.44529411764706,14.8405882352941,80.7141176470588,0,0.160333033223749,0.129958261589997,0,0,0,1500,1.60442475786107,0.191758057603696,8.94190770927447,0.581395348837209,12.06640625,25.393125,62.54046875,0,0.162254319902021,0.251092894686485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,,1,s139,,1,3,A,1500,0.5,0.5,,250,1.38422539318621,0.169729213494066,9.86092105478824,1.63372093023256,4.44529411764706,14.8405882352941,80.7141176470588,0,0.164951356603568,0.137171700193115,0,0,0,750,1.49476269664331,0.175713057392927,22.6909299531849,0.813953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167326510454082,0.165386142057526,0,0,0,1500,1.69199223916962,0.149317410499513,12.3618490228662,0.151162790697674,11.69125,27.8421875,60.4665625,0,0.165529064626673,0.265909690930023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,,1,s140,,1,3,B,1500,0.5,0.5,,250,1.38422539318621,0.169729213494066,9.86092105478824,1.63372093023256,4.44529411764706,14.8405882352941,80.7141176470588,0,0.164951356603568,0.137171700193115,0,0,0,750,1.49476269664331,0.175713057392927,22.6909299531849,0.813953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167326510454082,0.165386142057526,0,0,0,1500,1.69199223916962,0.149317410499513,12.3618490228662,0.151162790697674,11.69125,27.8421875,60.4665625,0,0.165529064626673,0.265909690930023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,,1,s141,,1,3,B,1500,0.5,0.5,,250,1.38422539318621,0.169729213494066,9.86092105478824,1.63372093023256,4.44529411764706,14.8405882352941,80.7141176470588,0,0.164951356603568,0.137171700193115,0,0,0,750,1.49476269664331,0.175713057392927,22.6909299531849,0.813953488372093,4.44529411764706,14.8405882352941,80.7141176470588,0,0.167326510454082,0.165386142057526,0,0,0,1500,1.69199223916962,0.149317410499513,12.3618490228662,0.151162790697674,11.69125,27.8421875,60.4665625,0,0.165529064626673,0.265909690930023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
